Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Auraria,39.74577000000005,-105.01001999999994,Fogo de Chão,39.75120861841116,-105.00226967626882,Churrascaria
Auraria,39.74577000000005,-105.01001999999994,Little Owl Coffee,39.75045153697557,-104.99965587666885,Coffee Shop
Auraria,39.74577000000005,-105.01001999999994,Confluence Park,39.75448692690256,-105.00856943810193,Park
Auraria,39.74577000000005,-105.01001999999994,Elitch Gardens Theme & Water Park,39.75004490229126,-105.01076065912419,Theme Park
Auraria,39.74577000000005,-105.01001999999994,Lucky Pie Pizza & Tap House,39.75112284581134,-105.0002079821709,Pizza Place
Auraria,39.74577000000005,-105.01001999999994,The Capital Grille,39.74799814075769,-104.99871959013868,Steakhouse
Auraria,39.74577000000005,-105.01001999999994,Ocean Prime,39.74827969707599,-104.99898403774944,Seafood Restaurant
Auraria,39.74577000000005,-105.01001999999994,Freshcraft,39.74992507157928,-104.9996736145575,American Restaurant
Auraria,39.74577000000005,-105.01001999999994,REI,39.755622,-105.009853,Sporting Goods Shop
Auraria,39.74577000000005,-105.01001999999994,The Kitchen Denver,39.75118132946056,-105.00002242434076,New American Restaurant
Auraria,39.74577000000005,-105.01001999999994,Zolarium Tanning Studio,39.749406352166034,-104.99905252687307,Tanning Salon
Auraria,39.74577000000005,-105.01001999999994,Hotel Teatro,39.7460294,-104.9985075,Hotel
Auraria,39.74577000000005,-105.01001999999994,Green Russell,39.747634,-104.999245,Cocktail Bar
Auraria,39.74577000000005,-105.01001999999994,TAVERNETTA,39.753099097500495,-105.0017543309544,Italian Restaurant
Auraria,39.74577000000005,-105.01001999999994,Four Seasons Spa,39.74662961036058,-104.99798149187289,Spa
Auraria,39.74577000000005,-105.01001999999994,Ellie Caulkins Opera House,39.74515752732853,-104.99740826148623,Opera House
Auraria,39.74577000000005,-105.01001999999994,Denver Broncos Team Store,39.74281973134802,-105.02021948348919,Sporting Goods Shop
Auraria,39.74577000000005,-105.01001999999994,Museum Of Contemporary Art Denver,39.75235154278164,-105.00413874956082,Art Museum
Auraria,39.74577000000005,-105.01001999999994,Hapa Sushi,39.74980856020027,-105.00000797995648,Sushi Restaurant
Auraria,39.74577000000005,-105.01001999999994,Cru Wine Bar,39.747962713871935,-104.99890775091752,Wine Bar
